,,,"CB1 - Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio;",CB2 - Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio;,"CB3 - Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética; ","CB4 - Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado;",CB5 - Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.,CT1 Capacidad para el uso y aplicación de las TIC en el ámbito académico y profesional. ,CT2 Capacidad para comunicarse en una lengua extranjera (inglés),"CG1 Capacidad para comprender las estructuras y procesos del contexto profesional, sus implicaciones sociales y culturales desde una perspectiva global, así como su dimensión internacional.","CG2 Capacidad para identificar, integrarse y participar en comunidades de conocimiento y trabajar en equipo de forma colaborativa y/o cooperativa usando entornos digitales.",CG3 Capacidad para elaborar un pensamiento y discurso crítico sobre el contexto y un posicionamiento ético sobre la práctica profesional. ,"CE1 Capacidad para usar la creatividad en los proyectos de diseño, resolver probemas de forma innovadora y generar nuevas ideas. ","CE2 Capacidad de expresar sensaciones y emociones mediante 
las diferentes técnicas propias del diseño, así como de propiciar 
experiencias estéticas de acuerdo con los objetivos del proyecto a 
realizar.","CE3 Capacidad para gestionar y desarrollar todas las fases de los proyectos de diseño, pensando sistemáticamente a través de cuestiones, situaciones y temas para conceptualizar, representar, formalizar, desarrollar y producir.","CE4 Capacidad para aplicar los métodos y estrategias del diseño a procesos de diseño con el objetivo de conseguir resultados significativos en la relación entre el diseño y las personas y a procesos de otros ámbitos sociales y empresariales, incorporando la cultura del diseño en la empresa. ","CE5 Capacidad para elaborar mensajes teniendo en cuenta el público al que van dirigidos y las particularidades del encargo, aplicando un pensamiento estratégico y teniendo en cuenta las teorías de la comunicación. ","CE6 Dominio de las técnicas específicas de diseño, así como de las herramientas necesarias para el desarrollo de la profesión, en un aprendizaje continuo y en entornos digitales.","CE7 Conocer los distintos soportes, materiales y dispositivos analógicos y digitales para la formalización del diseño.",CE8 Capacidad para analizar y utilizar en los proyectos de diseño conocimientos de historia del diseño y cultura visual. ,CE9 Capacidad para incluir conceptos clave de sostenibilidad y respeto al entorno en los proyectos de diseño. ,CE10 Capacidad para reconocer e incorporar la complejidad de la diversidad cultural y funcional en los procesos y resultados de diseño. ,"CE11 Capacidad para comprender el contexto cultural actual y los movimientos sociales relacionados con la cultura digital, para imprimir una ética de cultura libre y abierta a la práctica del diseño. "
29,Lenguajes y estándares web,Web,,1,,,,1,1,,1,,1,1,,,,1,1,,,,1
30,Tipografía avanzada,Tip2,,1,,,,1,,,1,,1,1,,,1,1,1,1,,1,1
31,Ilustración,Ilus,,,,,,1,,1,,,1,1,,,1,1,1,,,,1
32,Packaging,Pack,,1,,,,,,,,,1,,1,1,1,1,1,1,1,1,1
33,Fotografía,Foto,,,,,,1,,,1,1,1,1,,,1,1,1,,,,1
34,Muntatge audiovisual,Munt,,,,,,1,,,,,1,1,,,1,1,1,1,,,
35,Animación,Anim,,,,,,,,,,,1,1,,,1,1,,,,,
36,Motion graphics,Mot,,,,,,1,,,,,1,1,,,1,1,,,,,
37,Pràctiques,Pract,,1,,,,,,,,,1,,,,,,,,,,
38,Inglés I,Ang1,,,,,,,1,,,,,,,,,,,,,,
39,Inglés II,Ang2,,,,,,,1,,,,,,,,,,,,,,
40,TFG ,TFG,,1,,,,1,,1,,,1,,1,,1,,1,1,1,1,
